area,venue,year,publication_status,expected_count,collected_count,retrieval_date,official_source_url,metadata_source_urls,reconciliation,unresolved_metadata
Security,IEEE S&P,2024,proceedings,261,261,2026-07-31,https://www.ieee-security.org/TC/SP-Index.html,https://dblp.org/db/conf/sp/sp2024.xml,normalized metadata count reconciled; independent official count unavailable,
Security,IEEE S&P,2025,proceedings,255,255,2026-07-31,https://www.ieee-security.org/TC/SP-Index.html,https://dblp.org/db/conf/sp/sp2025.xml,normalized metadata count reconciled; independent official count unavailable,
Security,IEEE S&P,2026,proceedings,252,252,2026-07-31,https://www.ieee-security.org/TC/SP-Index.html,https://dblp.org/db/conf/sp/sp2026.xml,normalized metadata count reconciled; independent official count unavailable,
Security,USENIX Security,2024,proceedings,418,418,2026-07-31,https://www.usenix.org/conferences/byname/108,https://dblp.org/db/conf/uss/uss2024.xml,normalized metadata count reconciled; independent official count unavailable,
Security,USENIX Security,2025,proceedings,439,439,2026-07-31,https://www.usenix.org/conferences/byname/108,https://dblp.org/db/conf/uss/uss2025.xml,normalized metadata count reconciled; independent official count unavailable,
Security,USENIX Security,2026,proceedings,375,375,2026-07-31,https://www.usenix.org/conference/usenixsecurity26/technical-sessions,https://www.usenix.org/conference/usenixsecurity26/technical-sessions,normalized metadata count reconciled; independent official count unavailable,
Security,ACM CCS,2024,proceedings,328,328,2026-07-31,https://www.sigsac.org/ccs.html,https://dblp.org/db/conf/ccs/ccs2024.xml,normalized metadata count reconciled; independent official count unavailable,
Security,ACM CCS,2025,proceedings,317,317,2026-07-31,https://www.sigsac.org/ccs.html,https://dblp.org/db/conf/ccs/ccs2025.xml,normalized metadata count reconciled; independent official count unavailable,
Security,ACM CCS,2026,pending,,0,2026-07-31,https://www.sigsac.org/ccs.html,,no complete public archival program available by cutoff,No complete accepted-paper program located by the cutoff.
Security,NDSS,2024,proceedings,140,140,2026-07-31,https://www.ndss-symposium.org/,https://dblp.org/db/conf/ndss/ndss2024.xml,normalized metadata count reconciled; independent official count unavailable,
Security,NDSS,2025,proceedings,211,211,2026-07-31,https://www.ndss-symposium.org/,https://dblp.org/db/conf/ndss/ndss2025.xml,normalized metadata count reconciled; independent official count unavailable,
Security,NDSS,2026,proceedings,265,265,2026-07-31,https://www.ndss-symposium.org/,https://dblp.org/db/conf/ndss/ndss2026.xml,normalized metadata count reconciled; independent official count unavailable,
Software Engineering,ICSE,2024,proceedings,237,237,2026-07-31,https://conf.researchr.org/series/icse,https://dblp.org/db/conf/icse/icse2024.xml,normalized metadata count reconciled; independent official count unavailable,
Software Engineering,ICSE,2025,proceedings,245,245,2026-07-31,https://conf.researchr.org/series/icse,https://dblp.org/db/conf/icse/icse2025.xml,normalized metadata count reconciled; independent official count unavailable,
Software Engineering,ICSE,2026,accepted-program,321,321,2026-07-31,https://conf.researchr.org/track/icse-2026/icse-2026-research-track,https://conf.researchr.org/track/icse-2026/icse-2026-research-track,normalized metadata count reconciled; independent official count unavailable,
Software Engineering,FSE/PACMSE,2024,proceedings,121,121,2026-07-31,https://conf.researchr.org/series/fse,https://dblp.org/db/journals/pacmse/pacmse1.xml,normalized metadata count reconciled; independent official count unavailable,
Software Engineering,FSE/PACMSE,2025,proceedings,132,132,2026-07-31,https://conf.researchr.org/series/fse,https://dblp.org/db/journals/pacmse/pacmse2.xml,normalized metadata count reconciled; independent official count unavailable,
Software Engineering,FSE/PACMSE,2026,accepted-program,211,211,2026-07-31,https://conf.researchr.org/track/fse-2026/fse-2026-research-papers,https://conf.researchr.org/track/fse-2026/fse-2026-research-papers,normalized metadata count reconciled; independent official count unavailable,
Software Engineering,ASE,2024,proceedings,155,155,2026-07-31,https://conf.researchr.org/series/ase,https://dblp.org/db/conf/kbse/ase2024.xml,normalized metadata count reconciled; independent official count unavailable,
