citation_key,arxiv_id,title,year,categories,published,decision,reason,pass2_evidence,dossiers,formal_supersession,review_status,url
Gu2026OverlookedSafetyVulnerability,2601.00213,Overlooked Safety Vulnerability in LLMs: Malicious Intelligent Optimization Algorithm Request and its Jailbreak,2026,cs.CR;cs.CL,2026-01-01T05:14:32Z,candidate,LLM is explicit in the title but the dossier object appears only in the abstract; manual primary-object review required,needs-primary-object-review,,no,needs-primary-object-review,https://arxiv.org/abs/2601.00213
Sun2026TalkLessVerify,2601.00224,"Talk Less, Verify More: Improving LLM Assistants with Semantic Checks and Execution Feedback",2026,cs.CL;cs.SE,2026-01-01T06:10:06Z,candidate,LLM is explicit in the title but the dossier object appears only in the abstract; manual primary-object review required,needs-primary-object-review,,no,needs-primary-object-review,https://arxiv.org/abs/2601.00224
Saju2026EmpiricalEvaluationLlm,2601.00254,"An Empirical Evaluation of LLM-Based Approaches for Code Vulnerability Detection: RAG, SFT, and Dual-Agent Systems",2026,cs.SE;cs.AI,2026-01-01T08:05:51Z,exclude,publication/acceptance metadata makes this supplementary or off-ledger rather than frontier,publication-metadata-review,,no,adjudicated,https://arxiv.org/abs/2601.00254
Wang2026MakingTheftUseless,2601.00274,Making Theft Useless: Adulteration-Based Protection of Proprietary Knowledge Graphs in GraphRAG Systems,2026,cs.CR,2026-01-01T09:27:24Z,exclude,LLM/foundation-model mention is background or the primary research object falls outside the dossiers,title-and-abstract,,no,adjudicated,https://arxiv.org/abs/2601.00274
Zhou2026TrafficMoeSparse,2601.00357,Traffic-MoE: A Sparse Foundation Model for Network Traffic Security Analysis,2026,cs.CR,2026-01-01T14:24:58Z,exclude,LLM/foundation-model mention is background or the primary research object falls outside the dossiers,title-and-abstract,,no,adjudicated,https://arxiv.org/abs/2601.00357
Protick2026LlmPoweredAnalysis,2601.00372,LLM-Powered Analysis of IoT User Reviews: Tracking and Ranking Security and Privacy Concerns,2026,cs.CR,2026-01-01T15:24:21Z,exclude,LLM/foundation-model mention is background or the primary research object falls outside the dossiers,title-and-abstract,,no,adjudicated,https://arxiv.org/abs/2601.00372
Hu2026LineContextRepositoryea685e8,2601.00376,In Line with Context: Repository-Level Code Generation via Context Inlining,2026,cs.SE;cs.AI,2026-01-01T15:56:24Z,exclude,a formal-ledger venue version supersedes this preprint identity/title,formal-supersession,,yes,adjudicated,https://arxiv.org/abs/2601.00376
Ayoughi2026DslOrCode,2601.00469,DSL or Code? Evaluating the Quality of LLM-Generated Algebraic Specifications: A Case Study in Optimization at Kinaxis,2026,cs.SE,2026-01-01T20:48:15Z,exclude,publication/acceptance metadata makes this supplementary or off-ledger rather than frontier,publication-metadata-review,,no,adjudicated,https://arxiv.org/abs/2601.00469
Bellur2026MultiAgentCoordinated,2601.00482,Multi-Agent Coordinated Rename Refactoring,2026,cs.SE;cs.AI,2026-01-01T21:29:43Z,include,title names a dossier research object and the title/abstract lead establishes the LLM or agentic method,title-and-abstract,software-for-llm,no,adjudicated,https://arxiv.org/abs/2601.00482
Sorokin2026StellarSearchBased,2601.00497,STELLAR: A Search-Based Testing Framework for Large Language Model Applications,2026,cs.SE,2026-01-01T22:30:15Z,include,title names a dossier research object and the title/abstract lead establishes the LLM or agentic method,title-and-abstract,llm-software,no,adjudicated,https://arxiv.org/abs/2601.00497
