dossier,shelf,primary_research_question,inclusion_boundary,exclusion_boundary,mapped_literature_count,audit_status,replacement_link
llm-software,Academic-Status/Benchmarks-Datasets-And-Evaluation.md,"benchmark design, task freshness, contamination, executable or formal oracles, environment reproducibility, cost reporting, and cross-topic evaluation. Full paper descriptions remain on their canonical topic pages.","benchmark design, task freshness, contamination, executable or formal oracles, environment reproducibility, cost reporting, and cross-topic evaluation. Full paper descriptions remain on their canonical topic pages.",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,8,active,
llm-software,Academic-Status/Code-Generation-Completion-And-Translation.md,"task-first code synthesis, completion, constrained decoding, code translation/transpilation, and correctness-preserving transformation. Code-model training recipes, adaptation data, and learned representations belong in [Code-Model Training, Adaptation, Data, and Representation](Code-Model-Training-Adaptation-Data-And-Representation.md); repository issue resolution belongs in [Software Agents and Repository Engineering](Software-Agents-And-Repository-Engineering.md); performance-first transformation belongs in [Performance Optimization and Compilation](Performance-Optimization-And-Compilation.md).","task-first code synthesis, completion, constrained decoding, code translation/transpilation, and correctness-preserving transformation. Code-model training recipes, adaptation data, and learned representations belong in [Code-Model Training, Adaptation, Data, and Representation](Code-Model-Training-Adaptation-Data-And-Representation.md); repository issue resolution belongs in [Software Agents and Repository Engineering](Software-Agents-And-Repository-Engineering.md); performance-first transformation belongs in [Performance Optimization and Compilation](Performance-Optimization-And-Compilation.md).",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,539,active,
llm-software,Academic-Status/Code-Model-Training-Adaptation-Data-And-Representation.md,"code-specific pretraining and instruction-tuning recipes, code corpora and synthetic-data pipelines, adaptation methods, and learned representations whose primary artifact is a code model or its training substrate. Task-first generation, translation, repair, and repository-agent techniques remain on their task shelves.","code-specific pretraining and instruction-tuning recipes, code corpora and synthetic-data pipelines, adaptation methods, and learned representations whose primary artifact is a code model or its training substrate. Task-first generation, translation, repair, and repository-agent techniques remain on their task shelves.",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,642,active,
llm-software,Academic-Status/Code-Review-Change-Governance-And-Traceability.md,"review-comment generation and validation, issue-to-change linkage, change rationale and provenance, and governance mechanisms that help people audit ordinary software changes. Security-first review and vulnerability triage belong in the sibling security dossier.","review-comment generation and validation, issue-to-change linkage, change rationale and provenance, and governance mechanisms that help people audit ordinary software changes. Security-first review and vulnerability triage belong in the sibling security dossier.",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,8,active,
llm-software,Academic-Status/Domain-Specific-Low-Resource-Scientific-And-Data-Software.md,"LLM-assisted software work where the language, artifact, execution environment, or correctness oracle is specific to science, data, databases, hardware, embedded systems, mobile applications, or another specialized domain. This page also tracks programming languages that receive too little training and evaluation coverage to inherit results from Python or Java.","LLM-assisted software work where the language, artifact, execution environment, or correctness oracle is specific to science, data, databases, hardware, embedded systems, mobile applications, or another specialized domain. This page also tracks programming languages that receive too little training and evaluation coverage to inherit results from Python or Java.",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,8,active,
llm-software,Academic-Status/Formalization-Proof-Engineering-And-Verified-Reasoning.md,"translating informal software intent into formal models or temporal logic, synthesizing invariants and proof steps, retrieving proof knowledge, repairing formal artifacts, and using model checkers or proof assistants as the final authority.","translating informal software intent into formal models or temporal logic, synthesizing invariants and proof steps, retrieving proof knowledge, repairing formal artifacts, and using model checkers or proof assistants as the final authority.",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,22,active,
llm-software,Academic-Status/Human-Facing-Software-UI-UX-Education-And-Developer-Experience.md,"multimodal and visual software engineering, UI-to-code, usability analysis, video-grounded bug work, software-engineering education, and empirical evidence about how people frame, learn, review, and collaborate with LLM-assisted software systems. The cross-cutting synthesis remains in [Human Factor](../Human-Factor.md).","multimodal and visual software engineering, UI-to-code, usability analysis, video-grounded bug work, software-engineering education, and empirical evidence about how people frame, learn, review, and collaborate with LLM-assisted software systems. The cross-cutting synthesis remains in [Human Factor](../Human-Factor.md).",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,21,active,
llm-software,Academic-Status/Performance-Optimization-And-Compilation.md,"LLM-assisted code efficiency, compiler-guided transformation, tensor/program lowering, autotuning, profiling-led optimization, and benchmarks that measure resource behavior rather than only functional correctness.","LLM-assisted code efficiency, compiler-guided transformation, tensor/program lowering, autotuning, profiling-led optimization, and benchmarks that measure resource behavior rather than only functional correctness.",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,18,active,
llm-software,Academic-Status/Program-Analysis-Specification-Verification-And-Reasoning.md,"non-security static and symbolic analysis, semantic reasoning, abstract interpretation, runtime-behavior reasoning, and neuro-symbolic verification. Existing specification and proof rows are preserved here as foundations; new work whose primary claim is requirements formalization, proof retrieval, proof repair, or formal-model engineering belongs in [Formalization, Proof Engineering, and Verified Reasoning](Formalization-Proof-Engineering-And-Verified-Reasoning.md).","non-security static and symbolic analysis, semantic reasoning, abstract interpretation, runtime-behavior reasoning, and neuro-symbolic verification. Existing specification and proof rows are preserved here as foundations; new work whose primary claim is requirements formalization, proof retrieval, proof repair, or formal-model engineering belongs in [Formalization, Proof Engineering, and Verified Reasoning](Formalization-Proof-Engineering-And-Verified-Reasoning.md).",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,70,active,
llm-software,Academic-Status/Program-Comprehension-Search-Retrieval-Documentation-And-APIs.md,"non-security work in which an LLM helps a developer or software tool locate, retrieve, explain, summarize, document, or correctly call existing code. Repository issue resolution remains in [Software Agents and Repository Engineering](Software-Agents-And-Repository-Engineering.md); this page owns the information-access layer that makes such work possible.","non-security work in which an LLM helps a developer or software tool locate, retrieve, explain, summarize, document, or correctly call existing code. Repository issue resolution remains in [Software Agents and Repository Engineering](Software-Agents-And-Repository-Engineering.md); this page owns the information-access layer that makes such work possible.",Use the sibling dossier when the primary research object crosses the documented direction/security boundary.,56,active,
